file1 file2 flip runtime closed open
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2011_12_5 -1 300000 14853284 82711949
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2011_1_5 -1 300000 15194849 83401709
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2011_2_5 14 195698 10248500 58080129
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2011_3_5 -1 300000 14899562 81724176
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2011_4_5 -1 300000 15164642 83525727
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2011_5_5 -1 300000 14856663 82397198
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2011_6_5 16 0 0 0
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2011_7_5 17 0 0 0
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2011_8_5 -1 300000 15138593 83479905
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_12_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2011_9_5 18 0 0 0
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_2_5 17 0 0 0
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_3_5 18 0 0 0
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_4_5 18 0 0 0
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_5_5 20 0 0 0
../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_1_5 ../data/sealevel_experiments_paper/s_30/s_30_5/triangulation/t_2009_6_5 -1 300000 15098102 86971887
